"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 05 14:44:39 UTC 2026","Sun Jul 05 14:45:41 UTC 2026","62147","","tests.ReviewOrderTests","","tests.ReviewOrderTests","userCanPlaceOrderSuccessfully","userCanPlaceOrderSuccessfully()",""
"passed","Sun Jul 05 14:40:23 UTC 2026","Sun Jul 05 14:41:16 UTC 2026","53285","","tests.PaymentTests","","tests.PaymentTests","paymentAcceptsSomeNonEmptyValue","paymentAcceptsSomeNonEmptyValue(String, String) Field expirationDate accepts value: ""03-20""",""
"failed","Sun Jul 05 15:22:38 UTC 2026","Sun Jul 05 15:23:35 UTC 2026","56924","","tests.PaymentBillingTests","","tests.PaymentBillingTests","paymentBillingAcceptsWeirdValues","paymentBillingAcceptsWeirdValues(String, String) Billing field city accepts value: ""a@ 1.com-&*!?  B""",""
"passed","Sun Jul 05 15:08:49 UTC 2026","Sun Jul 05 15:09:32 UTC 2026","43169","","tests.CheckoutTests","","tests.CheckoutTests","checkoutShowsErrorMessageForMissingMandatoryField","checkoutShowsErrorMessageForMissingMandatoryField(String, String) Missing field: country",""
"failed","Sun Jul 05 15:20:43 UTC 2026","Sun Jul 05 15:21:41 UTC 2026","57389","","tests.PaymentBillingTests","","tests.PaymentBillingTests","paymentBillingAcceptsWeirdValues","paymentBillingAcceptsWeirdValues(String, String) Billing field city accepts value: ""1""",""
"passed","Sun Jul 05 14:57:40 UTC 2026","Sun Jul 05 14:58:52 UTC 2026","71923","","tests.GuestCheckoutFlowTests","","tests.GuestCheckoutFlowTests","guestCanCompleteCheckoutFlowWithMultipleProducts","guestCanCompleteCheckoutFlowWithMultipleProducts()",""
"passed","Sun Jul 05 15:13:51 UTC 2026","Sun Jul 05 15:14:36 UTC 2026","45421","","tests.CheckoutTests","","tests.CheckoutTests","checkoutAcceptsAnyNonEmptyValue","checkoutAcceptsAnyNonEmptyValue(String, String) Field address accepts value: ""a""",""
"passed","Sun Jul 05 14:54:58 UTC 2026","Sun Jul 05 14:55:48 UTC 2026","50404","","tests.PaymentTests","","tests.PaymentTests","paymentRejectsInvalidValues","paymentRejectsInvalidValues(String, String) Field expirationDate rejects value: ""3/20""",""
"passed","Sun Jul 05 15:07:04 UTC 2026","Sun Jul 05 15:07:41 UTC 2026","37628","","tests.LoggedInUserCartTests","","tests.LoggedInUserCartTests","loggedInUserCanIncreaseQuantityFromProductDetailsPage","loggedInUserCanIncreaseQuantityFromProductDetailsPage()",""
"failed","Sun Jul 05 15:32:58 UTC 2026","Sun Jul 05 15:33:55 UTC 2026","56703","","tests.PaymentBillingTests","","tests.PaymentBillingTests","paymentBillingShowsErrorForMissingMandatoryField","paymentBillingShowsErrorForMissingMandatoryField(String, String) Billing missing field: address",""
